Axial,Tangential,Radial,fault
1.53,0.63,8.83,1
1.57,3.1,8.39,1
-3.49,-3.69,11.57,1
-1.02,-2.2,11.49,1
-0.86,0.86,10,1
-2.63,-3.1,7.3,1
-2.94,-3.8,11.1,1
-2,-1.92,10.59,1
-0.63,3.61,10.04,1
-0.78,2.04,11.41,1
-1.41,-0.51,11.41,1
-1.37,-0.31,10.94,1
1.41,3.06,8.79,1
-2.71,-1.84,12.63,1
-1.06,-2.43,9.14,1
-1.53,1.29,10.59,1
-2.24,4.04,11.49,1
-0.82,-0.27,11.1,1
0.2,0.2,8.75,1
1.92,5.81,8.71,1
-0.86,-2.55,10.87,1
-1.41,3.37,9.38,1
0,-1.41,6.79,1
-4.86,-1.69,12.91,1
-4.82,-5.65,10.51,1
0.39,0.86,8.59,1
-2.98,1.29,12.24,1
-0.71,-0.47,9.22,1
0.39,1.69,8.98,1
0.04,4.12,9.14,1
-0.67,0.04,10.59,1
-0.27,2.51,10.16,1
-1.53,1.84,11.53,1
-1.1,-0.59,10.71,1
0,-0.98,9.14,1
0.16,3.02,8.98,1
-1.96,-2.31,11.3,1
0.47,0.16,12.2,1
-0.78,3.3,11.06,1
0.04,1.77,11.69,1
-6.75,-3.53,12.51,1
-3.3,-3.61,10.71,1
1.18,2.08,8.39,1
-1.96,-1.06,9.65,1
-0.55,0.86,10.12,1
0.51,1.8,10,1
-2.43,1.33,12.04,1
-0.27,-0.08,8.94,1
-0.78,-1.49,9.3,1
1.18,0,7.41,1
-0.9,-3.1,8.08,1
-0.08,-3.1,7.1,1
-0.47,2.9,9.85,1
0.08,3.57,10.4,1
-3.1,-1.61,9.85,1
0.75,2.98,8.39,1
-1.88,0.94,12.4,1
-1.33,-0.78,10.55,1
-0.47,0.12,9.57,1
-0.55,2.55,9.69,1
-0.98,0.12,8.94,1
-0.55,2.12,9.26,1
-0.63,2.28,10.47,1
-2.2,-1.02,11.53,1
-1.14,-0.47,9.61,1
-0.16,1.8,8.47,1
-1.45,-0.86,9.96,1
-0.24,0,9.18,1
-0.86,1.69,9.69,1
-1.57,1.65,10.63,1
-1.02,-0.78,10.2,1
0.51,0.35,8.75,1
-2.79,-0.35,11.41,1
-0.27,-0.51,8.75,1
0.16,2.04,8.63,1
-1.02,2.35,10.63,1
-2.43,-0.24,12.12,1
0.75,0.86,8.98,1
0.47,1.73,9.41,1
-1.29,-0.12,9.85,1
0.12,-0.9,9.18,1
1.53,-3.41,6.32,1
-0.39,-1.33,9.22,1
-0.55,-0.12,8.39,1
-0.27,0.63,9.34,1
-5.81,-1.41,12.43,1
-1.1,-1.45,10.94,1
-0.39,0.12,8.43,1
-0.12,3.3,10.28,1
-0.98,1.8,10.24,1
-0.51,-2.39,7.65,1
0.2,2.39,10.75,1
-1.77,1.45,10.51,1
-1.22,-0.9,10.04,1
-0.51,0.12,9.41,1
-0.08,1.41,9.41,1
-1.45,-1.1,10,1
0.16,1.49,8.36,1
-0.43,2.43,10.04,1
-2.24,-0.67,11.49,1
-1.37,-0.47,9.89,1
-0.24,1.96,8.59,1
-1.45,2.24,10.79,1
-0.71,0,9.18,1
-0.78,1.8,9.69,1
-1.73,1.45,10.63,1
-1.41,-0.82,9.92,1
-0.39,-0.08,8.98,1
-2.67,2.31,9.69,1
-0.86,-0.27,8.9,1
0.24,1.88,8.59,1
-1.57,1.45,11.41,1
-2.31,-0.86,11.3,1
-0.67,-0.31,8.75,1
-1.92,1.88,8.71,1
-1.33,-0.9,10,1
-0.27,-0.04,8.94,1
-0.55,2.63,9.61,1
-2.08,1.33,10.87,1
-1.1,-0.94,10.12,1
0.12,0.24,8.79,1
-2.31,-0.55,10.94,1
0.2,-0.27,8.43,1
0.47,2.12,8.67,1
-1.96,1.06,11.18,1
-1.73,-0.63,10.55,1
0.55,-0.24,8.39,1
-1.57,0.75,11.06,1
-0.94,-1.65,10,1
0.86,0.59,8.24,1
-0.35,2.75,9.02,1
-1.41,0.43,11.41,1
-1.06,-1.73,9.89,1
-1.77,1.18,10.67,1
-1.45,-0.71,10,1
-0.04,0.08,8.94,1
0.2,1.29,9.41,1
-1.37,1.49,10.43,1
-1.61,-0.59,10.08,1
-0.55,0.12,9.18,1
-1.96,-0.31,11.41,1
-1.33,-1.06,9.96,1
0.12,1.65,8.47,1
-0.43,2.63,10.08,1
-2.39,-0.16,12.43,1
-0.43,-0.71,9.22,1
-1.22,1.57,7.81,1
-0.82,-0.59,9.89,1
0.71,-0.63,8.47,1
-0.71,2,9.53,1
-0.51,1.45,10.12,1
-1.49,-2.47,8.9,1
-0.35,3.22,8.16,1
-2.08,0.75,11.18,1
-1.1,-1.02,10.71,1
0.24,0.35,8.55,1
0.75,3.1,8.63,1
-1.18,-1.69,8.98,1
0.47,0.86,7.06,1
-0.47,2.43,10.4,1
-2.47,-0.59,12.94,1
-0.16,-1.18,8.98,1
-0.24,2.28,8.59,1
-1.41,-0.78,9.69,1
-0.55,-0.04,9.45,1
-0.43,1.84,9.65,1
-2.24,2.31,11.1,1
-0.9,-0.78,9.77,1
-0.04,-0.47,9.06,1
-2.71,2.08,9.3,1
-0.9,-1.29,9.18,1
0.16,1.06,8.47,1
-0.47,1.65,8.83,1
-1.53,0.86,12.67,1
-0.08,2.51,11.69,1
-3.3,1.77,12.4,1
-2.28,0,10.75,1
0.24,-0.31,8.16,1
0,1.45,9.45,1
-0.75,-1.41,10.9,1
0.08,0.2,10.24,1
-0.63,2.86,9.81,1
-1.84,0.47,11.02,1
-1.61,-1.26,11.22,1
1.14,0.51,7.88,1
-1.57,-0.27,8.94,1
0.55,-0.24,8.59,1
-0.12,1.77,9.65,1
-1.92,0.98,10.94,1
-1.41,-0.67,9.92,1
0.16,-0.24,8.9,1
-1.88,1.37,10.75,1
-0.71,-1.41,9.77,1
0,0,8.87,1
-0.47,2.63,9.69,1
-1.73,-0.51,9.96,1
0.24,1.69,9.81,1
-1.49,1.33,10.71,1
-1.61,-0.43,10.08,1
-0.86,-0.27,8.98,1
1.61,1.77,8.08,1
-1.41,-1.29,11.96,1
0.55,1.22,10.43,1
0.71,2.04,8.94,1
-1.1,1.73,10.4,1
-1.33,-0.9,10.59,1
-0.63,-0.04,8.94,1
-0.63,2.35,9.73,1
-1.33,-0.27,9.45,1
-0.16,1.92,8.87,1
-0.55,2.31,10.47,1
-2.71,-0.78,12.08,1
-0.98,-0.35,9.06,1
0.86,1.65,8.32,1
-1.1,-1.61,9.49,1
-0.08,0.86,8.71,1
-0.12,2.71,9.73,1
-1.53,1.88,10.4,1
-1.8,0.27,9.65,1
-0.86,2.75,10.43,1
-1.33,-1.33,11.41,1
-2.35,-0.24,12.47,1
0.78,0.98,8.67,1
0.55,1.96,8.87,1
-0.86,0.63,9.85,1
-0.12,3.06,8.9,1
-0.43,2.86,10.04,1
-1.8,0.98,11.77,1
-0.71,-2.43,8.36,1
0.24,1.22,8.67,1
-3.61,-1.8,12.04,1
-1.33,-1.61,10.43,1
1.22,0.71,8.36,1
